#Release 12.1 - par M.53d (lin64)
#Copyright (c) 1995-2010 Xilinx, Inc.  All rights reserved.

#Wed Jun 23 12:50:57 2010

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       system_map.ncd
#OUTPUT FILE:      system_pad.csv
#PART TYPE:        xc4vfx20
#SPEED GRADE:      -10
#PACKAGE:          ff672
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
D21,fpga_0_DDR_SDRAM_DDR_Addr_pin<11>,IOB,IO_L10P_5,OUTPUT,SSTL2_I,5,,,NONE**,,,LOCATED,YES,NONE,
D22,,,GND,,,,,,,,,,,,
D23,fpga_0_DDR_SDRAM_DDR_DM_pin<2>,IOB,IO_L7N_5,OUTPUT,SSTL2_I,5,,,NONE**,,,LOCATED,YES,NONE,
D24,fpga_0_DDR_SDRAM_DDR_DQS_pin<1>,IOB,IO_L9P_CC_LC_5,TRISTATE,SSTL2_II,5,,,NONE**,,,LOCATED,YES,NONE,
D25,,,AVCCAUXRXB_102,,,,,,,,,,,,
D26,MGT_wrapper/RX1N_IN<0>,IPAD,RXNPADB_102,INPUT,,,,,,NONE,,UNLOCATED,NO,NONE,
E1,TX1N_OUT<0>_x_x,OPAD,TXNPADB_113,OUTPUT,,,,,,,,UNLOCATED,NO,NONE,
E2,,,VTTXB_113,,,,,,,,,,,,
E3,,IOBM,IO_L20P_6,UNUSED,,6,,,,,,,,,
E4,,,VCCO_6,,,6,,,,,2.50,,,,
E5,,IOBS,IO_L12N_VREF_6,UNUSED,,6,,,,,,,,,
E6,fpga_0_LEDs_Positions_GPIO_IO_pin<0>,IOB,IO_L8N_CC_LC_6,BIDIR,LVCMOS25*,6,2,SLOW,PULLUP,NONE,,LOCATED,YES,NONE,
E7,fpga_0_TriMode_MAC_GMII_TemacPhy_RST_n_pin,IOB,IO_L5N_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,NO,NONE,
E8,fpga_0_TriMode_MAC_GMII_MDIO_0_pin,IOB,IO_L5P_6,BIDIR,LVCMOS25*,6,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
E9,,,GND,,,,,,,,,,,,
E10,fpga_0_TriMode_MAC_GMII_GMII_TX_EN_0_pin,IOB,IO_L21P_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,YES,NONE,
E11,,LOWCAPIOB,IO_L25P_CC_LC_6,UNUSED,,6,,,,,,,,,
E12,,,TDN_0,,,,,,,,,,,,
E13,fpga_0_DDR_SDRAM_DDR_BankAddr_pin<0>,IOB,IO_L4N_GC_VREF_LC_3,OUTPUT,SSTL2_I,3,,,NONE**,,,LOCATED,YES,NONE,
E14,,,VCCO_3,,,3,,,,,2.50,,,,
E15,,LOWCAPIOB,IO_L1N_GC_CC_LC_3,UNUSED,,3,,,,,,,,,
E16,,IOBS,IO_L28N_VREF_5,VREF Required,,5,,,,,1.25,,,,
E17,fpga_0_DDR_SDRAM_DDR_Addr_pin<2>,IOB,IO_L18P_5,OUTPUT,SSTL2_I,5,,,NONE**,,,LOCATED,YES,NONE,
E18,,IOBS,IO_L20N_VREF_5,VREF Required,,5,,,,,1.25,,,,
E19,,,GND,,,,,,,,,,,,
E20,fpga_0_DDR_SDRAM_DDR_Addr_pin<12>,IOB,IO_L8P_CC_LC_5,OUTPUT,SSTL2_I,5,,,NONE**,,,LOCATED,YES,NONE,
E21,fpga_0_DDR_SDRAM_DDR_DQ_pin<1>,IOB,IO_L3N_5,BIDIR,SSTL2_II,5,,,NONE**,IFD,,LOCATED,YES,NONE,
E22,fpga_0_DDR_SDRAM_DDR_DM_pin<3>,IOB,IO_L3P_5,OUTPUT,SSTL2_I,5,,,NONE**,,,LOCATED,YES,NONE,
E23,fpga_0_DDR_SDRAM_DDR_DQ_pin<8>,IOB,IO_L7P_5,BIDIR,SSTL2_II,5,,,NONE**,IFD,,LOCATED,YES,NONE,
E24,,,VCCO_5,,,5,,,,,2.50,,,,
E25,,,GNDA_102,,,,,,,,,,,,
E26,,,GNDA_102,,,,,,,,,,,,
F1,,,VTRXB_113,,,,,,,,,,,,
F2,,,GNDA_113,,,,,,,,,,,,
F3,,IOBS,IO_L20N_VREF_6,UNUSED,,6,,,,,,,,,
F4,,IOBS,IO_L16N_6,UNUSED,,6,,,,,,,,,
F5,,,VCCAUX,,,,,,,,2.5,,,,
F6,,,GND,,,,,,,,,,,,
F7,fpga_0_TriMode_MAC_GMII_GMII_RXD_0_pin<6>,IOB,IO_L3N_6,INPUT,LVCMOS25*,6,,,,IFD,,LOCATED,YES,NONE,
F8,fpga_0_TriMode_MAC_GMII_GMII_TXD_0_pin<7>,IOB,IO_L3P_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,YES,NONE,
F9,,,VCCINT,,,,,,,,1.2,,,,
F10,fpga_0_TriMode_MAC_GMII_GMII_TXD_0_pin<1>,IOB,IO_L19N_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,YES,NONE,
F11,,,VCCO_6,,,6,,,,,2.50,,,,
F12,,,TDP_0,,,,,,,,,,,,
F13,fpga_0_LEDs_4Bit_GPIO_IO_pin<2>,IOB,IO_L2N_GC_VRP_LC_3,BIDIR,LVCMOS25*,3,2,SLOW,PULLUP,NONE,,LOCATED,YES,NONE,
F14,fpga_0_LEDs_4Bit_GPIO_IO_pin<3>,IOB,IO_L2P_GC_VRN_LC_3,BIDIR,LVCMOS25*,3,2,SLOW,PULLUP,NONE,,LOCATED,YES,NONE,
F15,fpga_0_TriMode_MAC_GMII_GMII_RX_CLK_0_pin,IOB,IO_L1P_GC_CC_LC_3,INPUT,LVCMOS25*,3,,,,IBUF,,LOCATED,NO,NONE,
F16,,,GND,,,,,,,,,,,,
F17,fpga_0_DDR_SDRAM_DDR_Addr_pin<8>,IOB,IO_L18N_5,OUTPUT,SSTL2_I,5,,,NONE**,,,LOCATED,YES,NONE,
F18,fpga_0_DDR_SDRAM_DDR_DQ_pin<16>,IOB,IO_L6N_5,BIDIR,SSTL2_II,5,,,NONE**,IFD,,LOCATED,YES,NONE,
F19,fpga_0_DDR_SDRAM_DDR_DQ_pin<4>,IOB,IO_L6P_5,BIDIR,SSTL2_II,5,,,NONE**,IFD,,LOCATED,YES,NONE,
F20,fpga_0_DDR_SDRAM_DDR_DQ_pin<2>,IOB,IO_L1N_5,BIDIR,SSTL2_II,5,,,NONE**,IFD,,LOCATED,YES,NONE,
F21,,,VCCO_5,,,5,,,,,2.50,,,,
F22,fpga_0_DDR_SDRAM_DDR_DQ_pin<23>,IOB,IO_L5N_5,BIDIR,SSTL2_II,5,,,NONE**,IFD,,LOCATED,YES,NONE,
F23,fpga_0_DDR_SDRAM_DDR_DQ_pin<0>,IOB,IO_L11N_5,BIDIR,SSTL2_II,5,,,NONE**,IFD,,LOCATED,YES,NONE,
F24,fpga_0_DDR_SDRAM_DDR_DQ_pin<10>,IOB,IO_L11P_5,BIDIR,SSTL2_II,5,,,NONE**,IFD,,LOCATED,YES,NONE,
F25,,,VCCAUX,,,,,,,,2.5,,,,
F26,,IPAD,MGTCLK_P_102,UNUSED,,,,,,,,,,,
G1,MGT_wrapper/RX1P_IN<0>_x_x,IPAD,RXPPADB_113,INPUT,,,,,,NONE,,UNLOCATED,NO,NONE,
G2,,,AVCCAUXMGT_113,,,,,,,,,,,,
G3,,,GND,,,,,,,,,,,,
G4,fpga_0_LEDs_Positions_GPIO_IO_pin<4>,IOB,IO_L24N_CC_LC_6,BIDIR,LVCMOS25*,6,2,SLOW,PULLUP,NONE,,LOCATED,YES,NONE,
G5,,IOBM,IO_L16P_6,UNUSED,,6,,,,,,,,,
G6,,,VCCINT,,,,,,,,1.2,,,,
G7,,IOBM,IO_L4P_6,UNUSED,,6,,,,,,,,,
G8,,,VCCO_6,,,6,,,,,2.50,,,,
G9,,IOBS,IO_L11N_6,UNUSED,,6,,,,,,,,,
G10,,IOBM,IO_L19P_6,UNUSED,,6,,,,,,,,,
G11,fpga_0_Push_Buttons_Position_GPIO_IO_pin<4>,IOB,IO_L29N_6,BIDIR,LVCMOS25*,6,2,SLOW,PULLDOWN,NONE,,LOCATED,YES,NONE,
G12,fpga_0_LEDs_Positions_GPIO_IO_pin<1>,IOB,IO_L29P_6,BIDIR,LVCMOS25*,6,2,SLOW,PULLUP,NONE,,LOCATED,YES,NONE,
G13,,,GND,,,,,,,,,,,,
G14,fpga_0_FLASH_Mem_DQ_pin<5>,IOB,IO_L3N_D26_LC_1,BIDIR,LVCMOS33,1,12,FAST,PULLDOWN,NONE,,LOCATED,YES,NONE,
G15,fpga_0_FLASH_Mem_DQ_pin<13>,IOB,IO_L7N_D18_LC_1,BIDIR,LVCMOS33,1,12,FAST,PULLDOWN,NONE,,LOCATED,YES,NONE,
G16,fpga_0_FLASH_Mem_DQ_pin<12>,IOB,IO_L7P_D19_LC_1,BIDIR,LVCMOS33,1,12,FAST,PULLDOWN,NONE,,LOCATED,YES,NONE,
G17,,IOBM,IO_L14P_5,UNUSED,,5,,,,,,,,,
G18,,,VCCO_5,,,5,,,,,2.50,,,,
G19,fpga_0_DDR_SDRAM_DDR_DQ_pin<5>,IOB,IO_L4P_5,BIDIR,SSTL2_II,5,,,NONE**,IFD,,LOCATED,YES,NONE,
G20,fpga_0_DDR_SDRAM_DDR_DQ_pin<3>,IOB,IO_L1P_5,BIDIR,SSTL2_II,5,,,NONE**,IFD,,LOCATED,YES,NONE,
G21,fpga_0_DDR_SDRAM_DDR_DQ_pin<29>,IOB,IO_L5P_5,BIDIR,SSTL2_II,5,,,NONE**,IFD,,LOCATED,YES,NONE,
G22,fpga_0_DDR_SDRAM_DDR_DQ_pin<22>,IOB,IO_L13N_5,BIDIR,SSTL2_II,5,,,NONE**,IFD,,LOCATED,YES,NONE,
G23,,,GND,,,,,,,,,,,,
G24,fpga_0_DDR_SDRAM_DDR_DQ_pin<9>,IOB,IO_L15N_5,BIDIR,SSTL2_II,5,,,NONE**,IFD,,LOCATED,YES,NONE,
G25,,,VCCAUX,,,,,,,,2.5,,,,
G26,,IPAD,MGTCLK_N_102,UNUSED,,,,,,,,,,,
H1,MGT_wrapper/RX1N_IN<0>_x_x,IPAD,RXNPADB_113,INPUT,,,,,,NONE,,UNLOCATED,NO,NONE,
H2,,,AVCCAUXRXB_113,,,,,,,,,,,,
H3,,IOBS,IO_L28N_VREF_6,UNUSED,,6,,,,,,,,,
H4,,LOWCAPIOB,IO_L24P_CC_LC_6,UNUSED,,6,,,,,,,,,
H5,,,VCCO_6,,,6,,,,,2.50,,,,
H6,,IOBS,IO_L4N_VREF_6,UNUSED,,6,,,,,,,,,
H7,,IOBS,IO_L1N_6,UNUSED,,6,,,,,,,,,
H8,,IOBM,IO_L1P_6,UNUSED,,6,,,,,,,,,
H9,,IOBM,IO_L11P_6,UNUSED,,6,,,,,,,,,
H10,,,GND,,,,,,,,,,,,
H11,fpga_0_FLASH_Mem_DQ_pin<14>,IOB,IO_L8P_D17_CC_LC_1,BIDIR,LVCMOS33,1,12,FAST,PULLDOWN,NONE,,LOCATED,YES,NONE,
H12,fpga_0_FLASH_Mem_DQ_pin<7>,IOB,IO_L4N_D24_VREF_LC_1,BIDIR,LVCMOS33,1,12,FAST,PULLDOWN,NONE,,LOCATED,YES,NONE,
H13,fpga_0_FLASH_Mem_DQ_pin<6>,IOB,IO_L4P_D25_LC_1,BIDIR,LVCMOS33,1,12,FAST,PULLDOWN,NONE,,LOCATED,YES,NONE,
H14,fpga_0_FLASH_Mem_DQ_pin<4>,IOB,IO_L3P_D27_LC_1,BIDIR,LVCMOS33,1,12,FAST,PULLDOWN,NONE,,LOCATED,YES,NONE,
H15,,,VCCO_1,,,1,,,,,3.30,,,,
H16,fpga_0_FLASH_Mem_DQ_pin<9>,IOB,IO_L5N_D22_LC_1,BIDIR,LVCMOS33,1,12,FAST,PULLDOWN,NONE,,LOCATED,YES,NONE,
H17,,IOBS,IO_L14N_5,UNUSED,,5,,,,,,,,,
H18,,IOBS,IO_L4N_VREF_5,VREF Required,,5,,,,,1.25,,,,
H19,fpga_0_DDR_SDRAM_DDR_DQ_pin<6>,IOB,IO_L2P_5,BIDIR,SSTL2_II,5,,,NONE**,IFD,,LOCATED,YES,NONE,
H20,,,GND,,,,,,,,,,,,
H21,,,VCCAUX,,,,,,,,2.5,,,,
H22,fpga_0_DDR_SDRAM_DDR_DQ_pin<11>,IOB,IO_L13P_5,BIDIR,SSTL2_II,5,,,NONE**,IFD,,LOCATED,YES,NONE,
H23,fpga_0_DDR_SDRAM_DDR_CS_n_pin,IOB,IO_L23N_VRP_5,OUTPUT,SSTL2_I,5,,,NONE**,,,LOCATED,YES,NONE,
H24,fpga_0_DDR_SDRAM_DDR_DQ_pin<20>,IOB,IO_L15P_5,BIDIR,SSTL2_II,5,,,NONE**,IFD,,LOCATED,YES,NONE,
H25,,,GNDA_102,,,,,,,,,,,,
H26,,,GNDA_102,,,,,,,,,,,,
J1,,,GNDA_113,,,,,,,,,,,,
J2,,,GNDA_113,,,,,,,,,,,,
J3,,IOBS,IO_L30N_6,UNUSED,,6,,,,,,,,,
J4,,IOBM,IO_L28P_6,UNUSED,,6,,,,,,,,,
J5,,IOBS,IO_L22N_6,UNUSED,,6,,,,,,,,,
J6,,,VCCAUX,,,,,,,,2.5,,,,
J7,,,GND,,,,,,,,,,,,
J8,,,VCCINT,,,,,,,,1.2,,,,
J9,fpga_0_TriMode_MAC_GMII_GMII_TX_CLK_0_pin,IOB,IO_L9P_CC_LC_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,YES,NONE,
J10,,,VCCINT,,,,,,,,1.2,,,,
J11,fpga_0_FLASH_Mem_DQ_pin<15>,IOB,IO_L8N_D16_CC_LC_1,BIDIR,LVCMOS33,1,12,FAST,PULLDOWN,NONE,,LOCATED,YES,NONE,
J12,,,VCCO_1,,,1,,,,,3.30,,,,
J13,fpga_0_FLASH_Mem_DQ_pin<3>,IOB,IO_L2N_D28_LC_1,BIDIR,LVCMOS33,1,12,FAST,PULLDOWN,NONE,,LOCATED,YES,NONE,
J14,fpga_0_FLASH_Mem_DQ_pin<1>,IOB,IO_L1N_D30_LC_1,BIDIR,LVCMOS33,1,12,FAST,PULLDOWN,NONE,,LOCATED,YES,NONE,
J15,fpga_0_FLASH_Mem_DQ_pin<0>,IOB,IO_L1P_D31_LC_1,BIDIR,LVCMOS33,1,12,FAST,PULLDOWN,NONE,,LOCATED,YES,NONE,
J16,fpga_0_FLASH_Mem_DQ_pin<8>,IOB,IO_L5P_D23_LC_1,BIDIR,LVCMOS33,1,12,FAST,PULLDOWN,NONE,,LOCATED,YES,NONE,
J17,,,GND,,,,,,,,,,,,
J18,,,VCCINT,,,,,,,,1.2,,,,
J19,fpga_0_DDR_SDRAM_DDR_DQ_pin<24>,IOB,IO_L2N_5,BIDIR,SSTL2_II,5,,,NONE**,IFD,,LOCATED,YES,NONE,
J20,,,VCCINT,,,,,,,,1.2,,,,
J21,fpga_0_DDR_SDRAM_DDR_DQ_pin<30>,IOB,IO_L21N_5,BIDIR,SSTL2_II,5,,,NONE**,IFD,,LOCATED,YES,NONE,
J22,,,VCCO_5,,,5,,,,,2.50,,,,
J23,fpga_0_DDR_SDRAM_DDR_DQ_pin<18>,IOB,IO_L19P_5,BIDIR,SSTL2_II,5,,,NONE**,IFD,,LOCATED,YES,NONE,
J24,fpga_0_DDR_SDRAM_DDR_CE_pin,IOB,IO_L23P_VRN_5,OUTPUT,SSTL2_I,5,,,NONE**,,,LOCATED,YES,NONE,
J25,,,NC,,,,,,,,,,,,
J26,,,NC,,,,,,,,,,,,
K1,,IPAD,MGTCLK_P_113,UNUSED,,,,,,,,,,,
K2,,,GNDA_113,,,,,,,,,,,,
K3,,IOBM,IO_L30P_6,UNUSED,,6,,,,,,,,,
K4,,,GND,,,,,,,,,,,,
K5,,,VCCINT,,,,,,,,1.2,,,,
K6,,IOBM,IO_L22P_6,UNUSED,,6,,,,,,,,,
K7,,IOBS,IO_L15N_6,UNUSED,,6,,,,,,,,,
K8,fpga_0_Push_Buttons_Position_GPIO_IO_pin<1>,IOB,IO_L15P_6,BIDIR,LVCMOS25*,6,2,SLOW,PULLDOWN,NONE,,LOCATED,YES,NONE,
K9,,,VCCO_6,,,6,,,,,2.50,,,,
K10,,LOWCAPIOB,IO_L9N_CC_LC_6,UNUSED,,6,,,,,,,,,
K11,fpga_0_FLASH_Mem_DQ_pin<11>,IOB,IO_L6N_D20_LC_1,BIDIR,LVCMOS33,1,12,FAST,PULLDOWN,NONE,,LOCATED,YES,NONE,
K12,fpga_0_FLASH_Mem_DQ_pin<10>,IOB,IO_L6P_D21_LC_1,BIDIR,LVCMOS33,1,12,FAST,PULLDOWN,NONE,,LOCATED,YES,NONE,
K13,fpga_0_FLASH_Mem_DQ_pin<2>,IOB,IO_L2P_D29_LC_1,BIDIR,LVCMOS33,1,12,FAST,PULLDOWN,NONE,,LOCATED,YES,NONE,
K14,,,GND,,,,,,,,,,,,
K15,,,DONE_0,,,,,,,,,,,,
K16,,,HSWAPEN_0,,,,,,,,,,,,
K17,,,PROGRAM_B_0,,,,,,,,,,,,
K18,fpga_0_DDR_SDRAM_DDR_DQ_pin<28>,IOB,IO_L26N_5,BIDIR,SSTL2_II,5,,,NONE**,IFD,,LOCATED,YES,NONE,
K19,,,VCCO_5,,,5,,,,,2.50,,,,
K20,fpga_0_DDR_SDRAM_DDR_DM_pin<0>,IOB,IO_L17P_5,OUTPUT,SSTL2_I,5,,,NONE**,,,LOCATED,YES,NONE,
K21,fpga_0_DDR_SDRAM_DDR_DQ_pin<31>,IOB,IO_L21P_5,BIDIR,SSTL2_II,5,,,NONE**,IFD,,LOCATED,YES,NONE,
K22,fpga_0_DDR_SDRAM_DDR_DQS_pin<3>,IOB,IO_L25P_CC_LC_5,TRISTATE,SSTL2_II,5,,,NONE**,,,LOCATED,YES,NONE,
K23,fpga_0_DDR_SDRAM_DDR_DQ_pin<13>,IOB,IO_L19N_5,BIDIR,SSTL2_II,5,,,NONE**,IFD,,LOCATED,YES,NONE,
K24,,,GND,,,,,,,,,,,,
K25,,,NC,,,,,,,,,,,,
K26,,,NC,,,,,,,,,,,,
L1,,IPAD,MGTCLK_N_113,UNUSED,,,,,,,,,,,
L2,,,GNDA_113,,,,,,,,,,,,
L3,,IOBS,IO_L2N_8,UNUSED,,8,,,,,,,,,
L4,,IOBM,IO_L2P_8,UNUSED,,8,,,,,,,,,
L5,,IOBS,IO_L32N_6,UNUSED,,6,,,,,,,,,
L6,,,VCCO_6,,,6,,,,,2.50,,,,
L7,fpga_0_LEDs_Positions_GPIO_IO_pin<3>,IOB,IO_L26P_6,BIDIR,LVCMOS25*,6,2,SLOW,PULLUP,NONE,,LOCATED,YES,NONE,
L8,,,VCCINT,,,,,,,,1.2,,,,
L9,fpga_0_LEDs_Positions_GPIO_IO_pin<2>,IOB,IO_L31N_6,BIDIR,LVCMOS25*,6,2,SLOW,PULLUP,NONE,,LOCATED,YES,NONE,
L10,fpga_0_Push_Buttons_Position_GPIO_IO_pin<2>,IOB,IO_L31P_6,BIDIR,LVCMOS25*,6,2,SLOW,PULLDOWN,NONE,,LOCATED,YES,NONE,
L11,,,GND,,,,,,,,,,,,
L12,,,VCCINT,,,,,,,,1.2,,,,
L13,,,D_IN_0,,,,,,,,,,,,
L14,,,VCCINT,,,,,,,,1.2,,,,
L15,,,INIT_0,,,,,,,,,,,,
L16,,,VCCO_0,,,0,,,,,any******,,,,
L17,,,VBATT_0,,,,,,,,,,,,
L18,fpga_0_DDR_SDRAM_DDR_DQ_pin<25>,IOB,IO_L26P_5,BIDIR,SSTL2_II,5,,,NONE**,IFD,,LOCATED,YES,NONE,
L19,fpga_0_DDR_SDRAM_DDR_DQ_pin<21>,IOB,IO_L17N_5,BIDIR,SSTL2_II,5,,,NONE**,IFD,,LOCATED,YES,NONE,
L20,,,VCCINT,,,,,,,,1.2,,,,
L21,,,GND,,,,,,,,,,,,
L22,,,VCCAUX,,,,,,,,2.5,,,,
L23,fpga_0_DDR_SDRAM_DDR_DQS_pin<0>,IOB,IO_L25N_CC_LC_5,TRISTATE,SSTL2_II,5,,,NONE**,,,LOCATED,YES,NONE,
L24,fpga_0_DDR_SDRAM_DDR_DQ_pin<15>,IOB,IO_L27P_5,BIDIR,SSTL2_II,5,,,NONE**,IFD,,LOCATED,YES,NONE,
L25,,,NC,,,,,,,,,,,,
L26,,,NC,,,,,,,,,,,,
M1,,,GNDA_113,,,,,,,,,,,,
M2,,,GNDA_113,,,,,,,,,,,,
M3,,,VCCO_8,,,8,,,,,3.30,,,,
M4,,IOBM,IO_L4P_8,UNUSED,,8,,,,,,,,,
M5,fpga_0_rst_1_sys_rst_pin,IOB,IO_L32P_6,INPUT,LVCMOS25*,6,,,PULLUP,NONE,,LOCATED,NO,NONE,
M6,fpga_0_Push_Buttons_Position_GPIO_IO_pin<3>,IOB,IO_L26N_6,BIDIR,LVCMOS25*,6,2,SLOW,PULLDOWN,NONE,,LOCATED,YES,NONE,
M7,,,VCCAUX,,,,,,,,2.5,,,,
M8,,,GND,,,,,,,,,,,,
M9,,,NC,,,,,,,,,,,,
M10,,,NC,,,,,,,,,,,,
M11,,,NC,,,,,,,,,,,,
M12,,,CS_B_0,,,,,,,,,,,,
M13,,,VCCO_0,,,0,,,,,any******,,,,
M14,,,CCLK_0,,,,,,,,,,,,
M15,,,VCCINT,,,,,,,,1.2,,,,
M16,,,M2_0,,,,,,,,,,,,
M17,,,VCCINT,,,,,,,,1.2,,,,
M18,,,GND,,,,,,,,,,,,
M19,,,NC,,,,,,,,,,,,
M20,,,NC,,,,,,,,,,,,
M21,,,NC,,,,,,,,,,,,
M22,fpga_0_DDR_SDRAM_DDR_DQ_pin<26>,IOB,IO_L29P_5,BIDIR,SSTL2_II,5,,,NONE**,IFD,,LOCATED,YES,NONE,
M23,,,VCCO_5,,,5,,,,,2.50,,,,
M24,fpga_0_DDR_SDRAM_DDR_DQ_pin<12>,IOB,IO_L27N_5,BIDIR,SSTL2_II,5,,,NONE**,IFD,,LOCATED,YES,NONE,
M25,,,NC,,,,,,,,,,,,
M26,,,NC,,,,,,,,,,,,
N1,,,NC,,,,,,,,,,,,
N2,,,NC,,,,,,,,,,,,
N3,fpga_0_FLASH_Mem_A_pin<29>,IOB,IO_L10P_8,OUTPUT,LVDCI_33,8,,,NONE**,,,LOCATED,YES,DRIVER,
N4,fpga_0_FLASH_Mem_A_pin<28>,IOB,IO_L4N_VREF_8,OUTPUT,LVDCI_33,8,,,NONE**,,,LOCATED,YES,DRIVER,
N5,,,GND,,,,,,,,,,,,
N6,,,NC,,,,,,,,,,,,
N7,,,NC,,,,,,,,,,,,
N8,,,NC,,,,,,,,,,,,
N9,,,NC,,,,,,,,,,,,
N10,,,NC,,,,,,,,,,,,
N11,,,NC,,,,,,,,,,,,
N12,,,VCCAUX,,,,,,,,2.5,,,,
N13,,,GND,,,,,,,,,,,,
N14,,,VCCINT,,,,,,,,1.2,,,,
N15,,,GND,,,,,,,,,,,,
N16,,,NC,,,,,,,,,,,,
N17,,,NC,,,,,,,,,,,,
N18,,,NC,,,,,,,,,,,,
N19,,,NC,,,,,,,,,,,,
N20,,,NC,,,,,,,,,,,,
N21,,,NC,,,,,,,,,,,,
N22,fpga_0_DDR_SDRAM_DDR_DQ_pin<19>,IOB,IO_L29N_5,BIDIR,SSTL2_II,5,,,NONE**,IFD,,LOCATED,YES,NONE,
N23,fpga_0_DDR_SDRAM_DDR_DQ_pin<17>,IOB,IO_L31N_5,BIDIR,SSTL2_II,5,,,NONE**,IFD,,LOCATED,YES,NONE,
N24,fpga_0_DDR_SDRAM_DDR_DQ_pin<14>,IOB,IO_L31P_5,BIDIR,SSTL2_II,5,,,NONE**,IFD,,LOCATED,YES,NONE,
N25,,,NC,,,,,,,,,,,,
N26,,,NC,,,,,,,,,,,,
P1,,,NC,,,,,,,,,,,,
P2,,,NC,,,,,,,,,,,,
P3,fpga_0_FLASH_Mem_A_pin<27>,IOB,IO_L10N_8,OUTPUT,LVDCI_33,8,,,NONE**,,,LOCATED,YES,DRIVER,
P4,,LOWCAPIOB,IO_L8P_CC_LC_8,UNUSED,,8,,,,,,,,,
P5,fpga_0_FLASH_Mem_CE_pin,IOB,IO_L6P_8,OUTPUT,LVDCI_33,8,,,NONE**,,,LOCATED,YES,DRIVER,
P6,,,NC,,,,,,,,,,,,
P7,,,NC,,,,,,,,,,,,
P8,,,NC,,,,,,,,,,,,
P9,,,NC,,,,,,,,,,,,
P10,,,NC,,,,,,,,,,,,
P11,,,NC,,,,,,,,,,,,
P12,,,GND,,,,,,,,,,,,
P13,,,VCCINT,,,,,,,,1.2,,,,
P14,,,M0_0,,,,,,,,,,,,
P15,,,VCCAUX,,,,,,,,2.5,,,,
P16,,,NC,,,,,,,,,,,,
P17,,,NC,,,,,,,,,,,,
P18,,,NC,,,,,,,,,,,,
P19,,,NC,,,,,,,,,,,,
P20,,,NC,,,,,,,,,,,,
P21,,,NC,,,,,,,,,,,,
P22,,,GND,,,,,,,,,,,,
P23,,,VCCAUX,,,,,,,,2.5,,,,
P24,,IOBM,IO_L1P_7,UNUSED,,7,,,,,,,,,
P25,,,NC,,,,,,,,,,,,
P26,,,NC,,,,,,,,,,,,
R1,,,NC,,,,,,,,,,,,
R2,,,NC,,,,,,,,,,,,
R3,,LOWCAPIOB,IO_L8N_CC_LC_8,UNUSED,,8,,,,,,,,,
R4,,,VCCO_8,,,8,,,,,3.30,,,,
R5,fpga_0_FLASH_Mem_A_pin<26>,IOB,IO_L6N_8,OUTPUT,LVDCI_33,8,,,NONE**,,,LOCATED,YES,DRIVER,
R6,,,NC,,,,,,,,,,,,
R7,,,NC,,,,,,,,,,,,
R8,,,NC,,,,,,,,,,,,
R9,,,GND,,,,,,,,,,,,
R10,,,VCCINT,,,,,,,,1.2,,,,
R11,,,RDWR_B_0,,,,,,,,,,,,
R12,,,VCCINT,,,,,,,,1.2,,,,
R13,,,TDO_0,,,,,,,,,,,,
R14,,,VCCO_0,,,0,,,,,any******,,,,
R15,,,M1_0,,,,,,,,,,,,
R16,,,NC,,,,,,,,,,,,
R17,,,NC,,,,,,,,,,,,
R18,,,NC,,,,,,,,,,,,
R19,,,GND,,,,,,,,,,,,
R20,,IOBS,IO_L3N_7,UNUSED,,7,,,,,,,,,
R21,,IOBM,IO_L3P_7,UNUSED,,7,,,,,,,,,
R22,,,VCCINT,,,,,,,,1.2,,,,
R23,,IOBS,IO_L1N_7,UNUSED,,7,,,,,,,,,
R24,,,VCCO_7,,,7,,,,,any******,,,,
R25,,,NC,,,,,,,,,,,,
R26,,,NC,,,,,,,,,,,,
T1,,,NC,,,,,,,,,,,,
T2,,,NC,,,,,,,,,,,,
T3,fpga_0_FLASH_Mem_A_pin<25>,IOB,IO_L12N_VREF_8,OUTPUT,LVDCI_33,8,,,NONE**,,,LOCATED,YES,DRIVER,
T4,fpga_0_RS232_Uart_sin_pin,IOB,IO_L12P_8,INPUT,LVCMOS33,8,,,,NONE,,LOCATED,NO,NONE,
T5,,,VCCAUX,,,,,,,,2.5,,,,
T6,,,GND,,,,,,,,,,,,
T7,,,VCCINT,,,,,,,,1.2,,,,
